"","id","description"
"111","away3","Is 3rd person staying somewhere else now?"
"112","where3","Where is 3rd person staying?"
"113","relate4","Relationship of 4th person to household head"
"114","gender4","Gender of 4th person"
"115","old4","Age of 4th person"
"116","mar4","Marital status of 4th person"
"117","away4","Is 4th person staying somewhere else now?"
"118","where4","Where is 4th person staying?"
"119","relate5","Relationship of 5th person to household head"
"120","gender5","Gender of 5th person"
"121","old5","Age of 5th person"
"122","mar5","Marital status of 5th person"
"123","away5","Is 5th person staying somewhere else now?"
"124","where5","Where is 5th person staying?"
"125","relate6","Relationship of 6th person to household head"
"126","gender6","Gender of 6th person"
"127","old6","Age of 6th person"
"128","mar6","Marital status of 6th person"
"129","away6","Is 6th person staying somewhere else now?"
"130","where6","Where is 6th person staying?"
"131","relate7","Relationship of 7th person to household head"
"132","gender7","Gender of 7th person"
"133","old7","Age of 7th person"
"134","mar7","Marital status of 7th person"
"135","away7","Is 7th person staying somewhere else now?"
"136","where7","Where is 7th person staying?"
"137","relate8","Relationship of 8th person to household head"
"138","gender8","Gender of 8th person"
"139","old8","Age of 8th person"
"140","mar8","Marital status of 8th person"
"141","away8","Is 8th person staying somewhere else now?"
"142","where8","Where is 8th person staying?"
"143","relate9","Relationship of 9th person to household head"
"144","gender9","Gender of 9th person"
"145","old9","Age of 9th person"
"146","mar9","Marital status of 9th person"
"147","away9","Is 9th person staying somewhere else now?"
"148","where9","Where is 9th person staying?"
"149","relate10","Relationship of 10th person to household head"
"150","gender10","Gender of 10th person"
"151","old10","Age of 1oth person"
"152","mar10","Marital status of 10th person"
"153","away10","Is 10th person staying somewhere else now?"
"154","where10","Where is 1oth person staying?"
"155","relate11","Relation of 11th person (visitor) to head"
"156","gender11","Gender of 11th person (visitor)"
"157","old11","Age of 11th person (visitor)"
"158","mar11","Marital status of 11th person (visitor)"
"159","away11","Is 11th person (visitor) staying elsewhere now?"
"160","where11","Where is 11th person (visitor) staying?"
"161","relate12","Relation of 12th person (visitor) to head"
"162","gender12","Gender of 12th person (visitor)"
"163","old12","Age of 12th person (visitor)"
"164","mar12","Marital status of 12th person (visitor)"
"165","away12","Is 12th person (visitor) staying elsewhere now?"
"166","where12","Where is 12th person (visitor) staying?"
"167","relate13","Relation of 13th person (visitor) to head"
"168","gender13","Gender of 13th person (visitor)"
"169","old13","Age of 13th person (visitor)"
"170","mar13","Marital status of 13th person (visitor)"
"171","away13","Is 13th person (visitor) staying elsewhere now?"
"172","where13","Where is 13th person (visitor) staying?"
"173","relate14","Relation of 14th person (visitor) to head"
"174","gender14","Gender of 14th person (visitor)"
"175","old14","Age of 14th person (visitor)"
"176","mar14","Marital status of 14th person (visitor)"
"177","away14","Is 14th person (visitor) staying elsewhere now?"
"178","where14","Where is 14th person (visitor) staying?"
"179","relhhd1","Relation of 1st person to household head"
"180","relhhd2","Relation of 2nd person to household head"
"181","relhhd3","Relation of 3rd person to household head"
"182","relhhd4","Relation of 4th person to household head"
"183","relhhd5","Relation of 5th person to household head"
"184","relhhd6","Relation of 6th person to household head"
"185","relhhd7","Relation of 7th person to household head"
"186","relhhd8","Relation of 8th person to household head"
"187","relhhd9","Relation of 9th person to household head"
"188","relhhd10","Relation of 1oth person to household head"
"189","relhhd11","Relation of 11th person (visitor) to head"
"190","relhhd12","Relation of 12th person (visitor) to head"
"191","relhhd13","Relation of 13th person (visitor) to head"
"192","relhhd14","Relation of 14th person (visitor) to head"
"193","hefinfo","Number of hef informant"
"194","hhrace","Race of household"
"195","respnum","Number in family of R"
"196","hhtype","Household type"
"197","hhtype1","Household type (condensed)"
"198","famgen","Number of family generations in household"
"199","rplace","R's relationship to household head"
"200","rvisitor","Is R a visitor?"
"201","visitors","Number of visitoR's in household"
"202","relhh1","Relationship of person 1 to head of household"
"203","relhh2","Relationship of person 2 to head of household"
"204","relhh3","Relationship of person 3 to head of household"
"205","relhh4","Relationship of person 4 to head of household"
"206","relhh5","Relationship of person 5 to head of household"
"207","relhh6","Relationship of person 6 to head of household"
"208","relhh7","Relationship of person 7 to head of household"
"209","relhh8","Relationship of person 8 to head of household"
"210","relhh9","Relationship of person 9 to head of household"
"211","relhh10","Relationship of person 10 to head of household"
"212","relhh11","Relationship of person 11 to head of household"
"213","relhh12","Relationship of person 12 to head of household"
"214","relhh13","Relationship of person 13 to head of household"
"215","relhh14","Relationship of person 14 to head of household"
"216","relsp1","Relationship of person 1 to spouse of househol"
"217","relsp2","Relationship of person 2 to spouse of househol"
"218","relsp3","Relationship of person 3 to spouse of househol"
"219","relsp4","Relationship of person 4 to spouse of househol"
"220","relsp5","Relationship of person 5 to spouse of househol"
"221","relsp6","Relationship of person 6 to spouse of househol"
"222","relsp7","Relationship of person 7 to spouse of househol"
"223","relsp8","Relationship of person 8 to spouse of househol"
"224","relsp9","Relationship of person 9 to spouse of househol"
"225","relsp10","Relationship of person 10 to spouse of househo"
"226","relsp11","Relationship of person 11 to spouse of househo"
"227","relsp12","Relationship of person 12 to spouse of househo"
"228","relsp13","Relationship of person 13 to spouse of househo"
"229","relsp14","Relationship of person 14 to spouse of househo"
"230","dateintv","Date of interview"
"231","isco68","Respondent's occupation, 1970 census"
"232","paisco68","R's Father's occupation, 1970 census"
"233","spisco68","R's spouse's occupation, 1970 census"
"234","isco681","Respondent's occupation, 1980 census"
"235","paisc681","R's Father's occupation, 1980 census"
"236","maisc681","R's Mothers occupation, 1980 census"
"237","spisc681","R's spouse's occupation, 1980 census"
"238","isco88","Respondent's occupation, 1980 census & 1988 ISCO code"
"239","paisco88","R's Father's occupation, 1980 census & 1988 ISCO code"
"240","maisco88","R's Mothers occupation, 1980 census & 1988 ISCO code"
"241","spisco88","R's spouse's occupation, 1980 census & 1988 ISCO code"
"242","sei","Respondent socioeconomic index (1980)"
"243","firstsei","R's socioeconomic index of 1st occupation (1980)"
"244","pasei","R's Father's socioeconomic index (1980)"
"245","masei","R's Mothers socioeconomic index (1980)"
"246","spsei","R's spouse's socioeconomic index (1980)"
"247","cohort","Year of birth"
"248","marcohrt","Year of first marriage"
"249","birthmo","Month in which R was born"
"250","zodiac","Respondents astrological sign"
"251","wrkstat","Labor force status"
"252","hrs1","Number of hours worked last week"
"253","hrs2","Number of hours usually work a week"
"254","evwork","Ever work as long as one year"
"255","occ","R's census occupation code (1970)"
"256","prestige","R's occupational prestige score(1970)"
"257","wrkslf","R self-emp or works for somebody"
"258","wrkgovt","Govt or private employee"
"259","commute","Travel time to work"
"260","industry","R's industry code (1970)"
"261","occ80","R's census occupation code (1980)"
"262","prestg80","R's occupational prestige score(1980)"
"263","indus80","R's industry code (1980)"
"264","occ10","R's census occupation code (2010)"
"265","indus10","R's industry code (NAICS 2007)"
"266","marital","Marital status"
"267","agewed","Age when first married"
"268","divorce","Ever been divorced or separated"
"269","widowed","Ever been widowed"
"270","spwrksta","Spouse labor force status"
"271","sphrs1","Number of hrs spouse worked last week"
"272","sphrs2","No. of hrs spouse usually works a week"
"273","spevwork","Spouse ever work as long as a year"
"274","spocc","Spouse census occupation code (1970)"
"275","sppres","Spouse's occupational prestige score (1970)"
"276","spwrkslf","Spouse self-emp. or works for somebody"
"277","spind","Spouse's industry code (1970)"
"278","spocc80","Spouse census occupation code (1980)"
"279","sppres80","Spouse's occupational prestige score (1980)"
"280","spind80","Spouse's industry code (1980)"
"281","spocc10","Spouse census occupation code (2010)"
"282","spind10","Spouse's industry code (NAICS 2007)"
"283","paocc16","Father's census occupation code (1970)"
"284","papres16","Father's occupational prestige score (1970)"
"285","pawrkslf","Father self-emp. or worked for somebody"
"286","paind16","Father's industry code (1970)"
"287","paocc80","Father's census occupation code (1980)"
"288","papres80","Father's occupational prestige score (1980)"
"289","paind80","Father's industry code (1980)"
"290","paocc10","Father's census occupation code (2010)"
"291","paind10","Father's industry code (NAICS 2007)"
"292","maocc80","Mothers census occupation code (1980)"
"293","mapres80","Mothers occupational prestige score (1980)"
"294","mawrkslf","Mother self-emp. or worked for somebody"
"295","maind80","Mothers industry code (1980)"
"296","maocc10","Mothers census occupation code (2010)"
"297","maind10","Mothers industry code (NAICS 2007)"
"298","sibs","Number of brothers and sisters"
"299","childs","Number of children"
"300","agekdbrn","R's age when 1st child born"
"301","res16","Type of place lived in when 16 yrs old"
"302","reg16","Region of residence, age 16"
"303","mobile16","Geographic mobility since age 16"
"304","family16","Living with parents when 16 yrs old"
"305","famdif16","Reason not living with parents"
"306","mawork","Mothers employment since marriage"
"307","mawkbaby","Mothers employment before first grade"
"308","mawkborn","Mothers employment after R was born"
"309","mawk16","Mothers employment when R growing up"
"310","mawrkgrw","Mothers employment when R was 16"
"311","incom16","R's family income when 16 yrs old"
"312","born","Was R born in this country"
"313","parborn","Were R's parents born in this country"
"314","granborn","How many grandparents born outside U.S."
"315","hompop","Number of persons in household"
"316","babies","Household members less than 6 yrs old"
"317","preteen","Household members 6 thru 12 yrs old"
"318","teens","Household members 13 thru 17 yrs old"
"319","adults","Household members 18 yrs and older"
"320","unrelat","Number in household not related"
"321","earnrs","How many in family earned money"
"322","income","Total family income"
"323","rincome","Respondents income"
"324","coninc","Family income in constant dollars"
"325","conrinc","Respondent income in constant dollars"
"326","income72","Total family income"
"327","income77","Total family income"
"328","rincom77","Respondents income"
"329","income82","Total family income"
"330","rincom82","Respondents income"
"331","income86","Total family income"
"332","rincom86","Respondents income"
"333","income91","Total family income"
"334","rincom91","Respondents income"
"335","income98","Total family income"
"336","rincom98","Respondents income"
"337","income06","Total family income"
"338","rincom06","Respondents income"
"339","weekswrk","Weeks R worked last year"
"340","partfull","Was R's work part-time or full-time?"
"341","region","Region of interview"
"342","xnorcsiz","Expanded NORC size code"
"343","srcbelt","SRC beltcode"
"344","size","Size of place in 1000s"
"345","dotdata","D.O.T. code - relation to data"
"346","dotpeop","D.O.T. code - relation to people"
"347","dotthng","D.O.T. code - relation to things"
"348","dotged","D.O.T. code - general educ develop."
"349","dotsvp","D.O.T. code - specific vocat. prep"
"350","dotpres","TEMME prestige scale"
"351","spdotdat","SP. D.O.T. code - relation to data"
"352","spdotpeo","SP. D.O.T. code - relation to people"
"353","spdotthn","SP. D.O.T. code - relation to things"
"354","spdotged","SP. D.O.T. code - general educ develop."
"355","spdotsvp","SP. D.O.T. code - specific vocat. prep"
"356","spdotpre","SP. TEMME prestige scale"
"357","padotdat","FA. D.O.T. code - relation to data"
"358","padotpeo","FA. D.O.T. code - relation to people"
"359","padotthn","FA. D.O.T. code - relation to things"
"360","padotged","FA. D.O.T. code - general educ develop."
"361","padotsvp","FA. D.O.T. code - specific vocat. prep"
"362","padotpre","FA. TEMME prestige scale"
"363","partyid","Political party affiliation"
"364","vote68","Did R vote in 1968 election"
"365","pres68","Vote for Humphrey, Nixon, or Wallace"
"366","if68who","Who would R have voted for-1968 election"
"367","vote72","Did R vote in 1972 election"
"368","pres72","Vote for McGovern or Nixon"
"369","if72who","Who would R have voted for-1972 election"
"370","vote76","Did R vote in 1976 election"
"371","pres76","Vote for Carter or Ford"
"372","if76who","Who would R have voted for-1976 election"
"373","vote80","Did R vote in 1980 election"
"374","pres80","Vote for Carter, Reagan or Anderson"
"375","if80who","Who would R have voted for-1980 election"
"376","vote84","Did R vote in 1984 election"
"377","pres84","Vote for Reagan or Mondale"
"378","if84who","Who would R have voted for-1984 election"
"379","vote88","Did R vote in 1988 election"
"380","pres88","Vote for Dukakis or Bush"
"381","if88who","Who would R have voted for-1988 election"
"382","vote92","Did R vote in 1992 election"
"383","pres92","Vote for Clinton, Bush, Perot"
"384","if92who","Who would R have voted for-1992 election"
"385","vote96","Did R vote in 1996 election"
"386","pres96","Vote for Clinton, Dole, Perot"
"387","if96who","Who would R have voted for-1996 election"
"388","vote00","Did R vote in 2000 election"
"389","pres00","Vote for Gore, Bush, Nader"
"390","if00who","Who would R has voted for in 2000 election"
"391","vote04","Did R vote in 2004 election"
"392","pres04","Vote for Kerry, Bush, Nader"
"393","if04who","Who would R has voted for in 2004 election"
"394","vote08","Did R vote in 2008 election"
"395","pres08","Vote Obama or McCain"
"396","if08who","Who you would have voted for"
"397","vote12","Did R vote in 2012 election"
"398","pres12","Vote Obama or Romney"
"399","if12who","Who would R have voted for in 2012 election"
"400","polviews","Think of self as liberal or conservative"
"401","polviewy","Liberal or conservative-Version Y"
"402","polviewx","Liberal or conservative-Version X"
"403","natspac","Space exploration program"
"404","natenvir","Improving & protecting environment"
"405","natheal","Improving & protecting nations health"
"406","natcity","Solving problems of big cities"
"407","natcrime","Halting rising crime rate"
"408","natdrug","Dealing with drug addiction"
"409","nateduc","Improving nations education system"
"410","natrace","Improving the conditions of blacks"
"411","natarms","Military, armaments, and defense"
"412","nataid","Foreign aid"
"413","natfare","Welfare"
"414","natroad","Highways and bridges"
"415","natsoc","Social security"
"416","natmass","Mass transportation"
"417","natpark","Parks and recreation"
"418","natchld","Assistance for childcare"
"419","natsci","Supporting scientific research"
"420","natenrgy","Developing alternative energy sources"
"421","natspacy","Space exploration:Version Y"
"422","natenviy","The environment:Version Y"
"423","nathealy","Health:Version Y"
"424","natcityy","Assistance to big cities:Version Y"
"425","natcrimy","Law enforcement:Version Y"
"426","natdrugy","Drug rehabilitation:Version Y"
"427","nateducy","Education:Version Y"
"428","natracey","Assistance to blacks:Version Y"
"429","natarmsy","National defense:Version Y"
"430","nataidy","Assistance to other countries:Ver Y"
"431","natfarey","Assistance to the poor:Version Y"
"432","natspacz","Space exploration:Version Z"
"433","natenviz","Improving the environment:Version Z"
"434","nathealz","Improving health:Version Z"
"435","natcityz","Solving problems of big cities:Ver Z"
"436","natcrimz","Reducing crime:Version Z"
"437","natdrugz","Reducing drug addiction:Version Z"
"438","nateducz","Improving the education system:Ver Z"
"439","natracez","Improving conditions of blacks:Ver Z"
"440","natarmsz","Strengthening national defense:Ver Z"
"441","nataidz","Helping other countries:Version Z"
"442","natfarez","Caring for the poor:Version Z"
"443","natroadz","Improving highways and bridges:Ver Z"
"444","natsocz","Protecting social security:Version Z"
"445","natmassz","Improving mass transit:Version Z"
"446","natparkz","Improving parks and recreation:Ver Z"
"447","equal1","Everyone should look out for self"
"448","equal2","Business profits benefit all"
"449","equal3","Govt shld insure jobs and stable prices"
"450","equal4","Responsibility of govt to meet needs"
"451","equal5","Social welfare benefits are disincentive"
"452","equal6","One is able to live well in America"
"453","equal7","Business profits are distributed fairly"
"454","equal8","Social standing due to ability"
"455","usclass1","Traditional class divisions still remain"
"456","usclass2","Achievement depends on family background"
"457","usclass3","Achievement depends on educ and ability"
"458","usclass4","Ones own efforts don't count"
"459","usclass5","Personal income not determined by work"
"460","usclass6","Differences in class are an incentive"
"461","usclass7","Differences in class reflect own effort"
"462","usclass8","Social differences are acceptable"
"463","educop","Equal opportunity to obtain education?"
"464","govcare","Govt concern for social welfare"
"465","eqwlth","Should govt reduce income differences"
"466","eqwlthy","Govt reduce income differences-Version Y"
"467","tax","R's federal income tax"
"468","spkath","Allow anti-religionist to speak"
"469","colath","Allow anti-religionist to teach"
"470","libath","Allow anti-religious book in library"
"471","spksoc","Allow socialist to speak"
"472","colsoc","Allow socialist to teach"
"473","libsoc","Allow socialists book in library"
"474","spkrac","Allow racist to speak"
"475","colrac","Allow racist to teach"
"476","librac","Allow racists book in library"
"477","spkcom","Allow communist to speak"
"478","colcom","Should communist teacher be fired"
"479","libcom","Allow communists book in library"
"480","spkmil","Allow militarist to speak"
"481","colmil","Allow militarist to teach"
"482","libmil","Allow militarists book in library"
"483","spkhomo","Allow homosexual to speak"
"484","colhomo","Allow homosexual to teach"
"485","libhomo","Allow homosexuals book in library"
"486","spkmslm","Allow muslim clergymen preaching hatred of the us"
"487","colmslm","Allow anti-American muslim clergymen teaching in college"
"488","libmslm","Allow anti-American muslim clergymen's books in library"
"489","cappun2","Does R favor capital punishment"
"490","cappun","Favor or oppose death penalty for murder"
"491","capimp","Importance of death penalty issue to R"
"492","capinfo","How much info R has on death penalty"
"493","capfirm","How firm Is R's opinion of death penalty"
"494","gunlaw","Favor or oppose gun permits"
"495","gunimp","Importance of gun control issue to R"
"496","guninfo","How much info Does R have on gun control"
"497","gunfirm","How firm Is R's opinion on gun control"
"498","courts","Courts dealing with criminals"
"499","courtsy","Courts dealing with criminals-Version Y"
"500","crimimp","Importance of crime issue to R"
"501","criminfo","How much info Does R have on crime issue"
"502","crimfirm","How firm Is R's opinion on crime issue"
"503","lawimp","Importance of law enforcement issue to R"
"504","lawinfo","How much info Does R have on law issue"
"505","lawfirm","How firm Is R's opinion on law issue"
"506","wirtap","Wiretapping"
"507","grass","Should marijuana be made legal"
"508","grassy","Should marijuana be legal-Version Y"
"509","uswar","Expect U.S. in war within 10 years"
"510","uswary","Expect U.S. in world war in 10 years"
"511","usintl","Take active part in world affairs"
"512","usun","Remain in u.n. or pull out"
"513","commun","Feelings about communism"
"514","commun10","Feelings about communism 10 yrs ago"
"515","russia","Liking for Russia"
"516","japan","Liking for Japan"
"517","england","Liking for England"
"518","canada","Liking for Canada"
"519","brazil","Liking for Brazil"
"520","china","Liking for China"
"521","israel","Liking for Israel"
"522","egypt","Liking for Egypt"
"523","relig","R's religious preference"
"524","denom","Specific denomination"
"525","other","Other protestant denominations"
"526","othjew","Consider self to be Jewish"
"527","jew","What sort of Jew R is"
"528","fund","How fundamentalist Is R currently"
"529","attend","How often R attends religious services"
"530","maattend","How often MA attended religious services"
"531","paattend","How often PA attended religious services"
"532","spattend","How often SP attends religious services"
"533","reliten","Strength of affiliation"
"534","postlife","Belief in life after death"
"535","postlf1","Life of peace and tranquility"
"536","postlf2","Life of intense action"
"537","postlf3","Like here on earth only better"
"538","postlf4","Life without many earthly joys"
"539","postlf5","Pale or shadowy form of life"
"540","postlf6","A spiritual life involving mind not body"
"541","postlf7","Paradise of pleasures and delights"
"542","postlf8","Place of loving intellectual communion"
"543","postlf9","Union with god"
"544","postlf10","Reunion with loved ones"
"545","likediff","Afterlife contrast: better or lacking"
"546","mindbody","Afterlife contrast: spiritual or sensual"
"547","restact","Afterlife contrast: peaceful or action"
"548","palefull","Afterlife contrast: shadows or full"
"549","pray","How often Does R pray"
"550","dejavu","Thought one was someplace before"
"551","esp","Felt in touch with someone far away"
"552","visions","Perceived events at great distance"
"553","spirits","Felt in touch with deceased person"
"554","grace","Had powerful religious experience"
"555","neargod","How close Does R feel to god"
"556","judge","Image of god as judge"
"557","redeemer","Image of god as redeemer"
"558","lover","Image of god as lover"
"559","master","Image of god as master"
"560","mother","Image of god as mother"
"561","creator","Image of god as creator"
"562","father","Image of god as father"
"563","spouse","Image of god as spouse"
"564","friend","Image of god as friend"
"565","king","Image of god as king"
"566","liberatr","Image of god as liberator"
"567","healer","Image of god as healer"
"568","mapa","Contrast between mother and father"
"569","mastersp","Contrast between master and spouse"
"570","judgeluv","Contrast between judge and lover"
"571","frndking","Contrast between friend and king"
"572","crtrheal","Contrast between creator and healer"
"573","rdeemlib","Contrast between redeemer and liberator"
"574","popespks","Pope is infallible on matteR's of faith or morals"
"575","popespky","Pope is infallible on matteR's of faith or morals (form 2)"
"576","sprel","Spouse's religious preference"
"577","relig16","Religion in which raised"
"578","denom16","Denomination in which R was raised"
"579","oth16","Other protestant denominations"
"580","othjew16","R raised as a Jew"
"581","jew16","What sort of Jew R was at age 16"
"582","fund16","How fundamentalist was R at age 16"
"583","spden","Specific denomination, spouse"
"584","spother","Other protestant denominations"
"585","spjew","What sort of Jew Is R's spouse currently"
"586","spothjew","Spouse considers self Jewish"
"587","spjrel16","Religion in which spouse raised"
"588","spjoth16","R's spouse raised Jewish"
"589","majwoth","R's mom was Jewish when R was growing up"
"590","pajwoth","R's dad was Jewish when R was growing up"
"591","bmitzvah","R had bar or bat mitzvah when R was a child"
"592","synmem","R belongs to a synagogue, temple, minyan, or high holiday congregation"
"593","spfund","How fundamentalist is spouse currently"
"594","sprel16","Religion in which spouse raised"
"595","spden16","Denomination in which spouse raised"
"596","spoth16","Other protestant denominations"
"597","spjew16","What sort of Jew was R's spouse at 16"
"598","spfund16","How fundamentalist was spouse at 16"
"599","kd1relig","Religion of R's child 1"
"600","kd2relig","Religion of R's child 2"
"601","kd3relig","Religion of R's child 3"
"602","kd4relig","Religion of R's child 4"
"603","kd5relig","Religion of R's child 5"
"604","kd6relig","Religion of R's child 6"
"605","kd7relig","Religion of R's child 7"
"606","kd8relig","Religion of R's child 8"
"607","kd1jwoth","R's child 1 considered Jewish"
"608","kd2jwoth","R's child 2 considered Jewish"
"609","kd3jwoth","R's child 3 considered Jewish"
"610","kd4jwoth","R's child 4 considered Jewish"
"611","kd5jwoth","R's child 5 considered Jewish"
"612","tithing","How much Does R give to religion"
"613","prayer","Bible prayer in public schools"
"614","prayery","Bible prayer in schools-Version Y"
"615","prayerx","Bible prayer in schools:Version Z"
"616","bible","Feelings about the bible"
"617","bibley","Feelings about the bible:Version Z"
"618","world1","World image:much evil vs. much good"
"619","world2","World image:the good must act vs. not"
"620","world3","World image:god not here vs. here"
"621","world4","World image:man is good vs. corrupt"
"622","world5","World image:arts are good vs. not"
"623","world6","World image:chaos vs. harmony"
"624","world7","World image:ach. reveals god vs. not"
"625","libtemp","Feeling thermometer:liberals"
"626","contemp","Feeling thermometer:conservatives"
"627","prottemp","Feeling thermometer:protestants"
"628","cathtemp","Feeling thermometer:catholics"
"629","jewtemp","Feeling thermometer:Jews"
"630","mslmtemp","Feeling thermometer:muslims"
"631","fepriest","R favors women as priests"
"632","feclergy","R favors women as ministers"
"633","relgrade","Grade given religion"
"634","racmar","Favor law against racial intermarriage"
"635","racmar10","Favor law against rac intrmar 10 yrs ago"
"636","racdin","Object to opp. race home for dinner"
"637","racpush","Blacks shouldn't push"
"638","racseg","Whites have right to seg. neighborhood"
"639","racopen","Vote on open housing law"
"640","raclive","Any opp. race in neighborhood"
"641","racclos","Any opp. race living close to R"
"642","racdis","How far are closest opp. race"
"643","racinteg","Will neighborhood become all black"
"644","racobjct","Neighborhood integrated by same ses"
"645","rachome","Opp. race home for dinner recently"
"646","racschol","Should whites & blacks go to same school"
"647","racfew","Children to school with opposite race"
"648","rachaf","Children to school half opposite race"
"649","racmost","Children to school mostly opposite race"
"650","busing","Attitude toward racial busing"
"651","busing10","Favor busing 10 yrs ago"
"652","racpres","Would vote for black president"
"653","racjob","Equal opportunities on jobs"
"654","racchurh","Attend church with other race"
"655","color","R's skin color"
"656","racname","Preferred racial name"
"657","rachisch","How integrated was R's high school"
"658","racmix","How many friends are white"
"659","racneigh","Neighborhood R would like to live in"
"660","racnobuy","Ever boycott certain products"
"661","ractrust","Trust white people"
"662","racparty","Which party helps blacks more"
"663","racocc","Equality in occupation"
"664","racinc","Equality in income"
"665","racopnow","Opportunities improved in last 5 yrs"
"666","racopwil","Opportunities improve in next 5 yrs"
"667","racimp","Importance of race relations issues to R"
"668","racinfo","How much info does R have on race issues"
"669","racfirm","How firm Is R's opinion on racial issues"
"670","raccare","R's concern about racial issues"
"671","racthink","How often R & friends think about race issues"
"672","racwrite","R ever written official abt race issues"
"673","racgive","Has R given money to racial orgs"
"674","racjoin","Ever joined org working on racial issues"
"675","affrmact","Favor preference in hiring blacks"
"676","wrkwayup","Blacks overcome prejudice without favors"
"677","blksimp","Have conditions for blacks improved"
"678","closeblk","How close feel to blacks"
"679","closewht","How close feel to whites"
"680","alienat1","People running country don't care"
"681","alienat2","Rich get richer, poor poorer"
"682","alienat3","What you think doesn't count"
"683","alienat4","You're left out of things"
"684","alienat5","Powerful people take advantage of you"
"685","alienat6","People in Wash D.C. are out of touch"
"686","happy","General happiness"
"687","hapmar","Happiness of marriage"
"688","health","Condition of health"
"689","life","Is life exciting or dull"
"690","helpful","People helpful or looking out for selves"
"691","fair","People fair or try to take advantage"
"692","trust","Can people be trusted"
"693","trusty","Can people be trusted-Version Y"
